n,method,threads,time_ms,iterations
100,Jacobi,1,0.6805,9
100,Gauss,1,4.4470,1
100,Jacobi,2,2.2095,9
100,Gauss,2,8.5540,1
100,Jacobi,4,1.2005,9
100,Gauss,4,9.1325,1
100,Jacobi,8,1.5234,9
100,Gauss,8,10.9996,1
100,Jacobi,16,3.2708,9
100,Gauss,16,15.7290,1
200,Jacobi,1,3.2339,9
200,Gauss,1,48.1803,1
200,Jacobi,2,2.2224,9
200,Gauss,2,26.7594,1
200,Jacobi,4,1.6874,9
200,Gauss,4,24.8992,1
200,Jacobi,8,2.3273,9
200,Gauss,8,30.7378,1
200,Jacobi,16,2.9119,9
200,Gauss,16,41.7031,1
500,Jacobi,1,16.7588,8
500,Gauss,1,577.6456,1
500,Jacobi,2,13.0342,8
500,Gauss,2,362.4860,1
500,Jacobi,4,8.6940,8
500,Gauss,4,260.9253,1
500,Jacobi,8,5.6953,8
500,Gauss,8,229.0532,1
500,Jacobi,16,5.6572,8
500,Gauss,16,220.5373,1
1000,Jacobi,1,74.3588,8
1000,Gauss,1,4557.0673,1
1000,Jacobi,2,54.3359,8
1000,Gauss,2,2662.7465,1
1000,Jacobi,4,32.6208,8
1000,Gauss,4,1814.8908,1
1000,Jacobi,8,28.6020,8
1000,Gauss,8,1150.3509,1
1000,Jacobi,16,28.8868,8
1000,Gauss,16,961.0240,1
2000,Jacobi,1,224.2871,6
2000,Gauss,1,39317.5980,1
2000,Jacobi,2,150.4851,6
2000,Gauss,2,22233.6144,1
2000,Jacobi,4,142.4629,6
2000,Gauss,4,16957.6156,1
2000,Jacobi,8,104.1882,6
2000,Gauss,8,13145.5586,1
2000,Jacobi,16,79.6762,6
2000,Gauss,16,11189.3453,1
